
[Onsemi AR0147 regdump]
REG= 0x3242, 0x0000
REG= 0x3244, 0x0804
REG= 0x3246, 0x0614
REG= 0x3248, 0x0000
REG= 0x324A, 0xFFFF
REG= 0x324C, 0x0100
REG= 0x324E, 0x0020
REG= 0x3250, 0x0004
REG= 0x3252, 0x0103
REG= 0x3254, 0x2C3B
REG= 0x3256, 0x0003
REG= 0x3258, 0x0380
REG= 0x325A, 0x2C3B
REG= 0x325E, 0x01C8
REG= 0x3260, 0x00FF
REG= 0x3262, 0x00FF
REG= 0x3270, 0x0000
REG= 0x3272, 0x0000
REG= 0x3274, 0x0000
REG= 0x3276, 0x0000
REG= 0x3278, 0x0000
REG= 0x327A, 0x0000
REG= 0x327C, 0x7070
REG= 0x327E, 0x7000
REG= 0x3280, 0x0FA0
REG= 0x3282, 0x0FA0
REG= 0x3284, 0x0FA0
REG= 0x3286, 0x0FA0
REG= 0x3288, 0x0FA0
REG= 0x328A, 0x0FA0
REG= 0x328C, 0x0FA0
REG= 0x328E, 0x0FA0
REG= 0x3290, 0x0FA0
REG= 0x3292, 0x0FA0
REG= 0x3294, 0x0FA0
REG= 0x3296, 0x0FA0
REG= 0x3298, 0x0FA0
REG= 0x329A, 0x0FA0
REG= 0x329C, 0x0FA0
REG= 0x329E, 0x0FA0
REG= 0x32A8, 0x0000
REG= 0x32AA, 0x0000
REG= 0x32AC, 0x0000
REG= 0x32AE, 0x0000
REG= 0x32B0, 0x0000
REG= 0x32B2, 0x0000
REG= 0x32B4, 0x0000
REG= 0x32B6, 0x0000
REG= 0x32B8, 0x0000
REG= 0x32BA, 0x0000
REG= 0x32BC, 0x0000
REG= 0x32BE, 0x0000
REG= 0x32C0, 0x0000
REG= 0x32C2, 0x0000
REG= 0x32C4, 0x0000
REG= 0x32C6, 0x0000
REG= 0x32C8, 0x0000
REG= 0x32CA, 0x0000
REG= 0x32CC, 0x0000
REG= 0x32D0, 0x3A02
REG= 0x32D2, 0x3508
REG= 0x32D4, 0x3702
REG= 0x32D6, 0x3C04
REG= 0x32D8, 0x00FF
REG= 0x32DA, 0x00FF
REG= 0x32DC, 0x370A
REG= 0x32DE, 0x00FF
REG= 0x32E0, 0x00FF
REG= 0x32E2, 0x3803
REG= 0x32E6, 0x009A
REG= 0x32E8, 0x0108
REG= 0x32EA, 0x3C08
REG= 0x32EC, 0x72A1
REG= 0x32EE, 0x0022
REG= 0x3300, 0x0200
REG= 0x3302, 0x0200
REG= 0x3304, 0x0200
REG= 0x3306, 0x0200
REG= 0x3308, 0x0200
REG= 0x330A, 0x0200
REG= 0x330C, 0x0200
REG= 0x330E, 0x0200
REG= 0x3310, 0x0200
REG= 0x3312, 0x0200
REG= 0x3316, 0x0000
REG= 0x3318, 0x0000
REG= 0x331A, 0x0000
REG= 0x331C, 0x0000
REG= 0x331E, 0x0000
